-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 02/01/1981 through 02/20/2024 
Location: Latitude  28.6835   Longitude 77.22 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 206.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,T2M,QV2M,RH2M,PRECTOTCORR,T2M_MAX,T2M_MIN,PS
1981,2,1,13.92,4.88,52.44,2.17,22.25,8.29,99.37
1981,2,2,12.54,4.03,47.94,0.0,20.87,5.07,99.46
1981,2,3,14.46,4.21,44.81,0.15,23.46,7.3,99.35
1981,2,4,16.14,4.46,43.88,0.9,26.19,8.28,99.15
1981,2,5,16.76,5.13,45.94,1.81,26.4,11.27,99.24
1981,2,6,15.13,5.43,55.44,0.0,24.51,8.51,99.52
1981,2,7,14.15,5.55,59.69,0.28,23.42,7.0,99.27
1981,2,8,14.4,4.88,52.06,0.0,23.61,7.23,99.01
1981,2,9,14.62,4.52,46.69,0.0,23.97,7.0,99.03
1981,2,10,14.55,4.46,47.06,0.16,24.44,6.87,99.18
1981,2,11,15.76,4.09,40.88,0.0,26.25,7.29,98.82
1981,2,12,18.27,4.46,37.94,0.0,29.24,9.44,98.66
1981,2,13,18.38,4.46,37.81,0.0,29.76,9.24,98.64
1981,2,14,19.7,5.19,38.19,0.13,29.3,9.54,98.71
1981,2,15,21.02,6.16,40.94,0.91,29.33,14.41,98.76
1981,2,16,19.48,5.68,43.75,0.0,29.15,12.04,99.01
1981,2,17,18.13,4.76,40.75,0.0,27.73,10.89,99.15
1981,2,18,17.94,4.64,41.0,0.0,28.44,10.17,98.95
1981,2,19,18.4,4.52,38.38,0.0,29.23,10.06,99.03
1981,2,20,19.64,4.7,36.44,0.0,30.15,11.86,99.06
1981,2,21,19.44,4.64,36.25,0.0,29.87,11.39,98.95
1981,2,22,19.56,4.58,35.88,0.0,30.15,11.18,98.88
1981,2,23,20.98,4.88,34.5,0.0,31.12,14.21,98.93
1981,2,24,22.8,4.76,30.94,0.0,33.64,14.19,98.8
1981,2,25,22.58,4.46,28.31,0.0,32.91,14.27,98.92
1981,2,26,21.58,4.33,29.56,0.01,31.15,13.4,98.91
1981,2,27,20.33,5.74,40.75,0.0,28.99,13.8,98.84
1981,2,28,20.33,7.87,53.94,5.2,28.27,14.0,98.73
1981,3,1,20.64,7.14,50.62,1.43,29.39,14.01,99.02
1981,3,2,19.21,4.94,39.94,0.13,28.55,11.36,99.15
1981,3,3,19.56,3.91,32.62,0.0,30.47,10.32,99.19
1981,3,4,21.94,5.37,34.38,0.0,32.24,12.7,99.22
1981,3,5,23.58,6.1,37.12,0.0,34.14,14.26,99.11
1981,3,6,24.35,6.04,33.69,0.2,32.93,16.28,98.99
1981,3,7,22.73,5.43,36.44,0.0,33.13,14.31,99.13
1981,3,8,19.08,3.3,25.81,0.0,26.52,12.8,99.01
1981,3,9,20.28,3.66,26.69,0.0,29.08,11.86,98.88
1981,3,10,23.05,3.66,23.12,0.2,32.28,13.5,98.75
1981,3,11,22.3,4.15,26.44,0.0,31.46,13.39,98.9
1981,3,12,22.4,4.94,30.56,0.0,30.55,15.71,99.02
1981,3,13,22.73,5.0,31.31,0.0,31.98,13.9,99.09
1981,3,14,22.36,5.74,34.69,1.88,29.49,16.74,99.14
1981,3,15,20.88,7.75,51.12,0.37,27.08,16.12,99.42
1981,3,16,20.19,8.42,58.88,1.85,26.1,14.83,99.18
1981,3,17,21.65,6.9,46.44,0.0,30.84,13.19,98.68
1981,3,18,23.87,6.23,37.44,0.0,34.05,13.83,98.51
1981,3,19,22.26,7.14,43.31,2.51,28.83,17.78,98.61
1981,3,20,23.26,8.42,49.25,0.89,30.8,16.12,98.49
1981,3,21,23.81,7.75,47.31,1.17,31.71,16.7,98.45
1981,3,22,22.44,6.16,42.19,0.27,32.21,14.13,98.45
1981,3,23,21.74,5.49,37.56,0.0,31.02,13.12,98.34
1981,3,24,22.33,5.62,37.5,0.17,32.08,13.12,98.45
1981,3,25,23.87,4.64,28.44,0.0,34.05,14.37,98.55
1981,3,26,24.77,4.76,26.69,0.0,34.15,17.44,98.45
1981,3,27,25.12,5.19,27.38,0.0,34.34,16.16,98.24
1981,3,28,28.24,5.55,25.88,0.0,39.07,19.53,98.24
1981,3,29,28.84,4.94,21.38,0.0,38.45,19.22,98.3
1981,3,30,28.3,6.59,28.25,6.0,36.45,21.63,98.2
1981,3,31,26.16,8.06,40.5,0.8,35.05,19.15,98.19
1981,4,1,25.93,5.74,30.31,0.01,35.27,17.46,98.29
1981,4,2,28.06,5.8,26.5,0.0,37.55,18.83,98.31
1981,4,3,28.23,5.37,23.69,0.0,37.83,19.46,98.19
1981,4,4,27.36,3.23,17.06,0.0,37.33,18.47,98.11
1981,4,5,24.85,3.05,18.44,0.05,34.44,15.94,98.28
1981,4,6,25.38,3.17,18.62,0.01,35.9,15.2,98.44
1981,4,7,27.01,3.36,17.56,0.0,37.86,16.94,98.38
1981,4,8,29.05,4.15,18.5,0.0,39.65,18.94,98.42
1981,4,9,30.14,4.33,18.75,0.0,40.31,20.23,98.25
1981,4,10,30.73,4.33,18.62,0.0,41.92,20.23,98.05
1981,4,11,31.38,4.27,17.38,0.0,43.11,20.58,97.94
1981,4,12,31.95,4.39,17.94,0.0,44.02,20.64,98.01
1981,4,13,32.2,4.03,15.69,0.0,44.02,21.01,98.14
1981,4,14,31.65,5.25,19.88,0.0,42.3,21.29,98.09
1981,4,15,32.59,5.31,18.81,0.01,43.08,22.35,97.96
